scene_id	cut	summary	base_prompt
c01a	1	빈 종이 번호표와 만석 카페 보케	Macro close-up of a small blank paper waiting ticket held between fingertips, with a packed Korean neighborhood cafe visible as warm bustling bokeh behind it, every table occupied, unmistakably a thriving Saturday afternoon, vertical 9:16 composition, no logos, no watermark
c01b	1	불황 뉴스 대비용 빈 신문 질감	A yellowed Korean newspaper front page with a bold empty red breaking-news banner dropping across it, tense visual contrast to a busy cafe, strong editorial composition, all headline and article areas completely blank, vertical 9:16, no logos, no watermark
c02	2	밤 노트북 검색 장면	Low-key documentary scene in a dark Korean apartment at night, an open laptop on a small desk with a completely blank search interface and a single mint-colored blinking cursor shape, hands paused over the keyboard, quiet investigative mood, vertical 9:16, no logos, no watermark
c03a	3	카페 한 곳과 전국의 수많은 점	A single glowing cafe icon isolated among hundreds of small location dots across a simplified silhouette map of South Korea, visually showing that one local observation is only one fragment of a nationwide picture, clear educational composition, vertical 9:16, no logos, no watermark
c03b	3	생산 소비 고용 자료가 하나의 지수로 합쳐짐	On a deep navy desk, three distinct stacks of blank economic documents represented by factory, shopping basket, and worker icons slide together into one central index card, isometric educational composition, no written labels, vertical 9:16, no logos, no watermark
c04a	4	선행 동행 후행 세 갈래 아이콘	Three clean economic indicator icons arranged in sequence: a telescope looking ahead, a clock showing the present with no visible numerals, and a car rear-view mirror looking behind, three equal panels, no labels, vertical 9:16, no logos, no watermark
c04b	4	방향과 힘을 보여주는 화살표 파형	An educational infographic panel showing economic direction and force using a large directional arrow beside two abstract waveforms, one subtle and one powerful, clear contrast between direction and magnitude, no axes or labels, vertical 9:16, no logos, no watermark
c04c	4	자동차 계기판과 지수 곡선	Close-up of a modern car instrument cluster transformed into an economic dashboard, a clean unlabeled curve rising and falling across the central gauge, no speed markings or numerals, sophisticated educational metaphor, vertical 9:16, no logos, no watermark
c05	5	빈 뉴스 헤드라인과 질문에서 확인으로 전환	A blank newspaper headline mockup under a large question-mark-shaped graphic that transitions visually into a mint confirmation check, all surrounding objects frozen, metacognitive reveal moment, vertical 9:16, no logos, no watermark
c06a	6	누가 확정하는지 묻는 빈 말풍선	Close-up of a blank newspaper headline card with a large empty speech bubble and a bold question-mark-shaped graphic hovering above it, visually asking who makes the official determination, clean editorial composition, vertical 9:16, no logos, no watermark
c06b	6	달력 되감기와 붉은 확정 도장	A wall-mounted Korean calendar rapidly rewinding through several previous months in a flutter, stopping on one blank date cell as a wet red official confirmation stamp slams onto the paper, red ink visibly bleeding into the fibers, beside it two tiny economic-cycle icons showing a mountain graph peak and a valley graph trough, vertical 9:16, no logos, no watermark
c07a	7	사후 확인 부검 서류와 돋보기	Cold steel-blue forensic document scene, a magnifying glass examining several blank economic data sheets, with a mountain-shaped cycle graph whose past peak is highlighted late by a fluorescent marker stroke, visual metaphor for retrospective confirmation, vertical 9:16, no logos, no watermark
c07b	7	여섯 달 내리막 뉴스 목업	Close-up of a realistic Korean financial-news article mockup with a prominent six-step downward chart made only of shapes, all headline and body fields completely blank, sober news photography, vertical 9:16, no logos, no watermark
c07c	7	뒤늦은 판정 회색 도장	A heavy gray rubber stamp landing across the blank financial-news mockup beside the six-step downward chart, muted ink spreading across the paper, visual metaphor for a late retrospective verdict, vertical 9:16, no logos, no watermark
c07d	7	겁먹은 손이 매도 버튼 직전 멈춤	Tense close-up of a worried hand hovering just above a large blank red action button on a smartphone trading interface, finger frozen before contact, all interface fields abstract and empty, no ticker symbols, vertical 9:16, no logos, no watermark
c08	8	골목 카페 여러 곳이 전국 평균선으로 압축됨	A simplified South Korea map filled with many cafe icons, some mint and crowded, others gray and quiet, all visually compressing into one single neutral average line, subtle ink-bleed texture, clear educational visual metaphor, vertical 9:16, no logos, no watermark
c09	9	기사 본문에서 두 단서를 형광펜으로 찾음	Close-up of a completely blank financial newspaper article, a hand uses a fluorescent marker to circle exactly two empty evidence fields in the body while ignoring the blank headline, a subtle save-bookmark pulse icon nearby, vertical 9:16, no logos, no watermark
c10a	10	급히 움직이려는 손과 회색 사후 도장	A hand about to make a rushed decision on a blank financial interface freezes as a gray retrospective-verdict stamp lands over an abstract market panel, calm corrective educational mood rather than panic, vertical 9:16, no logos, no watermark
c10b	10	경제전망보고서와 저장 구독 알림 아이콘	A polished blank national economic outlook report on a Korean household table beside simple icons representing a household shopping basket, a factory investment plan, a bookmark save action, and a notification bell, all connected as a useful reading toolkit, vertical 9:16, no logos, no watermark
